ESTADISTICA -TEORIA Y PROBLEMAS RESUELTOS	HORACIO D'OTTONE	1991	519.5	D999e	3331
ESTRATEGIAS  EXPERIMENTALES PARA EL MEJORAMIENTO DE LA CALIDAD EN LA INDUSTRIA	LAWSON-MADRIGAL-ERJAVEC	1992	519.5	L425	6497
ESTRATEGIAS  EXPERIMENTALES PARA EL MEJORAMIENTO DE LA CALIDAD EN LA INDUSTRIA	LAWSON-MADRIGAL-ERJAVEC	1992	519.5	L425	6495
ESTRATEGIAS  EXPERIMENTALES PARA EL MEJORAMIENTO DE LA CALIDAD EN LA INDUSTRIA	LAWSON-MADRIGAL-ERJAVEC	1992	519.5	L425	6496
FUNDAMENTOS DE ESTADISTICA EN LA INVESTIGACION  SOCIAL 	JACK LEVIN	1979	519.5	L665	1293
FUNDAMENTOS DE ESTADISTICA EN LA INVESTIGACION  SOCIAL 	JACK LEVIN	1979	519.5	L665	1294
FUNDAMENTOS DE ESTADISTICA EN LA INVESTIGACION  SOCIAL 	JACK LEVIN	1979	519.5	L665	1292
INTRODUCCION  A LA ESTADISTICA	LINCOYAN PORTUS	1998	519.5	P839i	9379
INTRODUCCION A  LA PROGRAMACION LINEAL 	GRACIELA BUENO DE ARJONA	1987	519.72	B928	6583
INTRODUCCION A  LA PROGRAMACION LINEAL 	GRACIELA BUENO DE ARJONA	1987	519.72	B928	6585
INTRODUCCION A  LA PROGRAMACION LINEAL 	GRACIELA BUENO DE ARJONA	1987	519.72	B928	6584
INTRODUCCION A LA TEORIA  DE DECISIONES 	MORGAN JONES 	1979	519.52	J78	3031
PROBABILIDAD	SEYMOUR LIPSCHUTZ/ M. LIPSON	2000	519.1	L767p	9126
PROBABILIDAD	SEYMOUR LIPSCHUTZ	1998	519.5	L767	16695
PROBABILIDAD ESTADISTICA	ELENA RUIZ -ELVIA RUIZ	2007	519.2	R934p	14239
PROBABILIDAD ESTADISTICA / SERIE SCHAUM	MURRAY R. SPIEGEL	1990	519.2	S755	323
PROBABILIDAD ESTADISTICA / SERIE SCHAUM	MURRAY R. SPIEGEL	1990	519.2	S755	319
PROBABILIDAD ESTADISTICA / SERIE SCHAUM	MURRAY R. SPIEGEL	1990	519.2	S755	322
PROBABILIDAD ESTADISTICA / SERIE SCHAUM	MURRAY R. SPIEGEL	1990	519.2	S755	318
PROBABILIDAD ESTADISTICA / SERIE SCHAUM	MURRAY R. SPIEGEL	1990	519.2	S755	321
PROBABILIDAD ESTADISTICA / SERIE SCHAUM	MURRAY R. SPIEGEL	1990	519.2	S755	320
PROBABILIDAD ESTADISTICA / SERIE SCHAUM	MURRAY R. SPIEGEL	1992	519.2	S755	315
PROBABILIDAD ESTADISTICA / SERIE SCHAUM	MURRAY R. SPIEGEL	1992	519.2	S755	2998
PROBABILIDAD ESTADISTICA / SERIE SCHAUM	MURRAY R. SPIEGEL	1992	519.2	S755	316
PROBABILIDAD Y APLICACIONES ESTADISTICAS	MEYER	1992	519.2	M613	311
