DICCIONARIO ENCICLOPEDICO COLOR	CARLOS DE GISPERT	2008	463	D 371d	14341
DICCIONARIO ENCICLOPEDICO DE TERMINOS TECNICOS INGLES - ESPAÑOL / ESPAÑOL - INGLES V. 1	JAVIER L. COLLAZO	1980	420	C 697	574
DICCIONARIO ENCICLOPEDICO DE TERMINOS TECNICOS INGLES - ESPAÑOL / ESPAÑOL - INGLES V. 1	JAVIER L. COLLAZO	1980	420	C 697	7156
DICCIONARIO ENCICLOPEDICO DE TERMINOS TECNICOS INGLES - ESPAÑOL / ESPAÑOL - INGLES V. 1	JAVIER L. COLLAZO	1980	420	C 697	7157
DICCIONARIO ENCICLOPEDICO DE TERMINOS TECNICOS INGLES - ESPAÑOL / ESPAÑOL - INGLES V. 2	JAVIER L. COLLAZO	1980	420	C 697d	576
DICCIONARIO ENCICLOPEDICO DE TERMINOS TECNICOS INGLES - ESPAÑOL / ESPAÑOL - INGLES V. 2	JAVIER L. COLLAZO	1980	420	C 697d	7160
DICCIONARIO ENCICLOPEDICO DE TERMINOS TECNICOS INGLES - ESPAÑOL / ESPAÑOL - INGLES V. 2	JAVIER L. COLLAZO	1980	420	C 697d	7161
DICCIONARIO ENCICLOPEDICO DE TERMINOS TECNICOS INGLES - ESPAÑOL / ESPAÑOL - INGLES V. 3	JAVIER L. COLLAZO	1980	420	C 697de	578
DICCIONARIO ENCICLOPEDICO DE TERMINOS TECNICOS INGLES - ESPAÑOL / ESPAÑOL - INGLES V. 3	JAVIER L. COLLAZO	1980	420	C 697de	7158
DICCIONARIO ENCICLOPEDICO DE TERMINOS TECNICOS INGLES - ESPAÑOL / ESPAÑOL - INGLES V. 3	JAVIER L. COLLAZO	1980	420	C 697de	7159
DICCIONARIO ESPAÑOL - FRANCES  FRANCES - ESPAÑOL	OCEANO	2002	440	G 531.4def	13644
DICCIONARIO ESPAÑOL - FRANCES  FRANCES - ESPAÑOL	OCEANO	2002	440	G 531.4def	13645
DICCIONARIO IDEOLOGICO DE LA LENGUA ESPAÑOLA	JULIO CASARES	1994	403	C 335	229
DICCIONARIO INTERNACIONAL SIMON AND SCHUSTER INGLES - ESPAÑOL / ESPAÑOL - INGLES	TANES DE GAMA	1973	423	G 187	S/INV.
DICCIONARIO LAROUSE BASICO ESPAÑOL - FRANCES/FRANCES - ESPAÑOL	LAROUSE	1999	443	L 326	S/INV.
DICCIONARIO PERICIAL ESPAÑOL - ALEMAN - FRANCES - INGLES - ITALIANO	CARLOS MACHADO SHIAFFINO	1992	420	M 149d	12434
DICCIONARIO PERICIAL ESPAÑOL - ALEMAN - FRANCES - INGLES - ITALIANO	CARLOS MACHADO SHIAFFINO	1992	420	M 149d	12435
DICCIONARIO PROCESAMIENTO DE DATOS 	GABRIEL BARROS 	1985	1	B277	3036
EL PEQUEÑO LAROUSSE ILUSTRADO	LAROUSSE	1998	463	P 425	5288
ENCICLOPEDIA DE BIOGRAFIAS ILUSTRADAS	JULIO MALTES CORTES	2000	920.03	M 261e	2264
ENCICLOPEDIA DE BIOGRAFIAS ILUSTRADAS	JULIO MALTES CORTES	2000	920.03	M 261e	9138
ENCICLOPEDIA DE ESCRITORES EN LENGUA CASTELLANA	ROSA NAVARRO DURAN	2000	860	E 321n	3130
GRAN DICCIONARIO DE SINONIMOS ANTONIMOS E IDEAS AFINES	TIRSO M. MORRISON	1985	463.1	M 882	8039
GRAN DICCIONARIO DE SINONIMOS ANTONIMOS E IDEAS AFINES	TIRSO M. MORRISON	1985	463.1	M 882	8212
GRAN DICCIONARIO DE SINONIMOS ANTONIMOS E IDEAS AFINES	TIRSO M. MORRISON	1985	463.1	M 882	1447
GRAN DICCIONARIO DE SINONIMOS ANTONIMOS E IDEAS AFINES	TIRSO M. MORRISON	0	463.31	M 834g	9134
NUEVO DICCIONARIO DE PRONUNCIACION DE LAS LENGUAS INGLESA Y ESPAÑOLA	M. VELAZQUEZ	1965	423	V 446	S/INV.
NUEVO SMART INTERACTIVO DICC. ESPAÑOL - INGLES / INGLES - ESPAÑOL	CARLOS DE GISPERT	2009	423	D 371	14342
NUEVO SMART INTERACTIVO DICC. ESPAÑOL - INGLES / INGLES - ESPAÑOL	CARLOS DE GISPERT	2009	423	D 371	14343
PEQUEÑO GIGANTE ILUSTRADO	H. CORREA	1997	463	C 824	2057
SELECCIÓN DE TERMINOS JURIDICOS POLITICOS ECONOMICOS Y SOCIOLOGICOS	CLEMENTE SOTO	1990	340	S718	8045
SELECCIÓN DE TERMINOS JURIDICOS POLITICOS ECONOMICOS Y SOCIOLOGICOS	CLEMENTE SOTO	1990	340	S718	8046
VOCABULARIO DE TERMINOS TECNICOS SOBRE UNIDADES DE REPRESENTACION NUMERICA EN GRANDES MODULOS	MARCOS F. GUTIERREZ				
