ADMINISTRACION MODERNA DE PERSONAL;JOAQUIN RODRIGUEZ VALENCIA;2007;658.3;R 696a;14258
ADMINISTRACION MODERNA DE PERSONAL;JOAQUIN RODRIGUEZ VALENCIA;2007;658.3;R 696a;14259
ADMINISTRACION POR CALIDAD;MANUEL ABURTO JIMENEZ;1992;658.568;A 167;8670
ADMINISTRACION POR CALIDAD;MANUEL ABURTO JIMENEZ;1992;658.568;A 167;8951
ADMINISTRACION SOCIAL : SERVICIO DE BIENESTAR SOCIAL;MARIA DEL CARMEN ALEMAN BRACHO;1996;658;A 367a;5459
ADMINISTRACION SOCIAL : SERVICIO DE BIENESTAR SOCIAL;MARIA DEL CARMEN ALEMAN BRACHO;1996;658;A 367a;5460
ADMINISTRACION UNA PERSPECTIVA GLOBAL;HAROLD KOONTZ;1999;658;K82;16672
ADMINISTRACION Y DIRECCION DE PROYECTOS. UN ENFOQUE INTEGRADO;PEDRO BRICEÑO L.;1996;658.3;B 849a;4992
ADMINISTRACION Y DIRECCION DE PROYECTOS. UN ENFOQUE INTEGRADO;PEDRO BRICEÑO L.;1996;658.3;B 849a;4993
ADMINISTRACION Y DIRECCION DE PROYECTOS. UN ENFOQUE INTEGRADO;PEDRO BRICEÑO L.;1996;658.3;B 849a;4994
ADMINISTRACION Y DIRECCION DE PROYECTOS. UN ENFOQUE INTEGRADO;PEDRO BRICEÑO L.;1996;658.3;B 849a;4995
ADMINISTRACION Y DIRECCION TECNICA DE LA PRODUCCION;ELWOOD S. BUFFA;1986;658.3;B 929d;2180
ADMINISTRACION Y ESTRATEGIA;JORGE HERMIDA;1992;658.15;H 554a;9463
ADMINISTRACION. FUNDAMENTOS. COMO INICIARSE EN EL ESTUDIO DE LA ADMINISTRACION;NORBERTO OSPINA MONTOYA;2010;658;O 583;14277
ADMINISTRACION. UNA PERSPECTIVA GLOBAL;HAROLD KOONTZ;1998;658;K 83a;3978
ADMINISTRACION. UNA PERSPECTIVA GLOBAL;HAROLD KOONTZ;1998;658;K 83a;7093
ADMINISTRACION. UNA PERSPECTIVA GLOBAL;HAROLD KOONTZ;1998;658;K 83a;7099
ANALISIS CUANTITATIVO PARA LOS NEGOCIOS;CHARLES E. BONINI;2000;658;B 715a;2310
ANALISIS CUANTITATIVO PARA LOS NEGOCIOS;CHARLES E. BONINI;2000;658;B 715a;2439
ANALISIS DE ESTADOS FINANCIEROS. TEORIA, APLICACION E INTERPRETACION;LEOPOLD A. BERNSTEN;1993;658.152;B 517a;5003
ANALISIS DE ESTADOS FINANCIEROS. TEORIA, APLICACION E INTERPRETACION;LEOPOLD A. BERNSTEN;1993;658.152;B 517a;5004
ANALISIS Y DISEÑO DE SISTEMAS DE INFORMACION;JAMES A. SENN;1988;658.403.88;S 478;656
ANALISIS Y DISEÑO DE SISTEMAS DE INFORMACION;JAMES A. SENN;1988;658.403.88;S 478;657
ANALISIS Y DISEÑO DE SISTEMAS DE INFORMACION;JAMES A. SENN;1992;658.403.88;S 478;658
ANALISIS Y DISEÑO DE SISTEMAS DE INFORMACION;JAMES A. SENN;1992;658.403.88;S 478;660
ANALISIS Y DISEÑO DE SISTEMAS DE INFORMACION;JAMES A. SENN;1992;658.403.88;S 478;661
ANALISIS Y DISEÑO DE SISTEMAS DE INFORMACION;JEFFREY L. WITTEN;1996;658.403.88;W 585a;9296
ANALISIS Y DISEÑO DE SISTEMAS DE INFORMACION;JEFFREY L. WITTEN;1996;658.403.88;W 585a;9298
ANATOMIA DE LA EMPRESA. UNA TEORIA GENERAL DE LAS ORGANIZACIONES SOCIALES;OSCAR JOHANSEN;1982;658.3;J 65;3181
BIBLIOTECA DE CIENCIA ECONOMICA-LA GESTION FINANCIERA;GASTON DEFOSSE;1979;658;D314;16683
BIBLIOTECA DE LA CIENCIA ECONOMICA- GESTION DE LA EMPRESA;J.AUBERT-KRIER Y OTROS;1980;658;A889;16682
CALIDAD TOTAL Y PRODUCTIVIDAD;HUMBERTO GUTIERREZ PULIDO;1997;658.002.8;G 983c;9931
CALIDAD TOTAL. GUIA PARA SU IMPLANTACION;DAN CIAMPA;1993;658.568;C 565;6448
CALIDAD TOTAL. GUIA PARA SU IMPLANTACION;DAN CIAMPA;1993;658.568;C 565;6449
CALIDAD TOTAL. GUIA PARA SU IMPLANTACION;DAN CIAMPA;1993;658.568;C 565;6450
CAMPAÑAS PUBLICITARIAS EXITOSAS;ALBERT DAVIS LASKER;1992;659.113;L 345;1266
CAMPAÑAS PUBLICITARIAS EXITOSAS;ALBERT DAVIS LASKER;1992;659.113;L 345;1267
CASOS DE EMPRESAS;JOSE RIVERA IZAM;2000;658.3;R 621c;3187
CASOS PRACTICOS DE MARKETING;JEAN JACQUES LAMBIN;1995;658.82;L 224c;7878
COMERCIALIZACION. BASIC MARKETING;E. JEROME MCCARTHY;1992;658.8;M 121;451
COMERCIALIZACION. BASIC MARKETING;E. JEROME MCCARTHY;1992;658.8;M 121;453
COMERCIALIZACION. BASIC MARKETING;E. JEROME MCCARTHY;1992;658.8;M 121;6637
COMO HACER INVESTIGACION DE MERCADOS;PAUL N. HAGUE;1994;658.83;H 147c;7964
COMO LOGRAR CALIDAD EN BIENES Y SERVICIOS;RAUL CARDENAS HERRERA;1993;658.562;C 266;5038
COMO PREPARAR EL EXITOSO PLAN DE MERCADOTECNIA;ROMAN G. HIEBING;1992;658.8;H 633c;9279
COMO PREPARAR EL EXITOSO PLAN DE MERCADOTECNIA;ROMAN G. HIEBING;1992;658.8;H 633c;9280
COMO PREPARAR EL EXITOSO PLAN DE MERCADOTECNIA;ROMAN G. HIEBING;1992;658.8;H 633c;9281
COMPORTAMIENTO DEL CONSUMIDOR;DEL I. HAWKINS;1997;658.8;H 393c;9355
COMPORTAMIENTO DEL CONSUMIDOR;DEL I. HAWKINS;1997;658.8;H 393c;7932
CONSULTOR PARA LA DIRECCION GENERAL;ASOC. ESPAÑOLA DE PLANIFICACION;2001;658;C 346c;14269
CONSULTOR PARA LA DIRECCION GENERAL;ASOC. ESPAÑOLA DE PLANIFICACION;2001;658;C 346c;14270
CONTROL DE CALIDAD Y PRODUCCION INDUSTRIAL. TOMO II;ACHESON J. DUNCAN;1990;658.568;D911;1375
CONTROL DE CALIDAD Y PRODUCCION INDUSTRIAL. TOMO III;ACHESON J. DUNCAN;1990;658.568;D911;1376
CONTROL DE GESTION;PATRICIO JIMENEZ BERMEJO;2001;658.6;J 61c;9817
CONTROL DE GESTION Y CONTROL PRESUPUESTARIO;CARLOS MALLO;1995;658.15;M 527;6539
CONTROL DE GESTION Y CONTROL PRESUPUESTARIO;CARLOS MALLO;1995;658.15;M 527;6540
CONTROL DE GESTION Y CONTROL PRESUPUESTARIO;CARLOS MALLO;1995;658.15;M 527;6541
CONTROL ESTADISTICO DE CALIDAD;EUGENE L. GRANT;1986;658.568;G 761;1373
COSTO Y TIEMPO EN EDIFICACION;CARLOS SUAREZ SALAZAR;1990;658.159.69;S 939;2531
COSTO Y TIEMPO EN EDIFICACION;CARLOS SUAREZ SALAZAR;2001;658.159.69;S 939;156
