ARGUMENTACION, COMUNICACIÓN Y FALACIAS;FRANS H. VAN EEMEREN;2002;401.4;E 17a;9493;
GRAMATICA SUCINTA DE LA LENGUA;MARIA ISABEL IGLESIAS;1999;425;I 24;7043;
INICIACION AL LENGUAJE DE LA IMAGEN;RAYMOND COLLE;1993;426;C 697;1800;
INICIACION AL LENGUAJE DE LA IMAGEN;RAYMOND COLLE;1993;426;C 697;1844;
LA CIENCIA DE LA COMUNICACIÓN;WILBUR SCHRAMM;1972;410;S 121;14452;
LA COMUNICACIÓN EN ACCION. INFORME SOBRE LA NUEVA CULTURA DE LA GESTION;JOAN COSTA;1999;410;C 837c;9065;
LA COMUNICACIÓN EN ACCION. INFORME SOBRE LA NUEVA CULTURA DE LA GESTION;JOAN COSTA;1999;410;C 837c;9189;
LA COMUNICACIÓN EN ACCION. INFORME SOBRE LA NUEVA CULTURA DE LA GESTION;JOAN COSTA;1999;410;C 837c;9190;
LA COMUNICACIÓN EN ACCION. INFORME SOBRE LA NUEVA CULTURA DE LA GESTION;JOAN COSTA;1999;410;C 837c;9191;
LA LENGUA Y LOS HABLANTES;RAUL AVILA;1998;410;A 958;6569;
LA LENGUA Y LOS HABLANTES;RAUL AVILA;1998;410;A 958;6567;
LA LENGUA Y LOS HABLANTES;RAUL AVILA;1998;410;A 958;6570;
LA LENGUA Y LOS HABLANTES;RAUL AVILA;1998;410;A 958;6572;
LAROUSSE GRAMATICA LENGUA ESPAÑOLA;IRMA MUNGUIA;2004;415;M 966;16576;
LAROUSSE GRAMATICA LENGUA ESPAÑOLA;IRMA MUNGUIA;2004;415;M 966;16575;
LENGUA LENGUAJE COMUNICACIÓN;P y H de la NOIX;1975;407;N782;;
LIBRO DE ORTOGRAFIA  (2);A. FERNANDEZ-V. MARTINEZ ;1992;465;G633;8839;
LIBRO DE ORTOGRAFIA (1);A. FERNANDEZ-V. MARTINEZ ;1992;465;G633;8840;
LIBRO DE ORTOGRAFIA (3);A. FERNANDEZ-V. MARTINEZ ;1992;465;G633;8838;
MANUAL DE GRAMATICA ESPAÑOLA;RAFAEL SECO;1989;465;S 445m;9320;
MANUAL DE REDACCION;VICTOR RODRIGUEZ JIMENEZ;1995;465.0202;R 696m;9097;
MAPUCHEDUNGUN. LENGUAJE DE LOS MAPUCHES;HUECHETUN MARILEF C.;1984;498.3;M 336;6887;
MAPUCHEDUNGUN. LENGUAJE DE LOS MAPUCHES;HUECHETUN MARILEF C.;1984;498.3;M 336;6888;
MASTER  BIBLIOTECA PRACTICA DE COMUNICACIÓN  APRENDIZAJE;CARLOS GISPERT;2008;302.2;G535 vol 7;16588;
MASTER  BIBLIOTECA PRACTICA DE COMUNICACIÓN  EXPRESION ESCRITA;CARLOS GISPERT;2008;302.2;G535 vol 7;16585;
MASTER  BIBLIOTECA PRACTICA DE COMUNICACIÓN  EXPRESION ORAL;CARLOS GISPERT;2008;302.2;G535 vol 7;16586;
MASTER  BIBLIOTECA PRACTICA DE COMUNICACIÓN  GRAMATICA;CARLOS GISPERT;2008;302.2;G535 vol 7;16583;
MASTER  BIBLIOTECA PRACTICA DE COMUNICACIÓN  ORTOGRAFIA;CARLOS GISPERT;2008;302.2;G535 vol 7;16582;
MASTER  BIBLIOTECA PRACTICA DE COMUNICACIÓN  VOCABULARIO;CARLOS GISPERT;2008;302.2;G535 vol 7;16584;
MASTER  BIBLIOTECA PRACTICA DE COMUNICACIÓN LECT. Y MEMORIZACION;CARLOS GISPERT;2008;302.2;G535 vol 7;16587;
ORTOGRAFIA DE LA LENGUA ESPAÑOLA;REAL ACADEMIA ESPAÑOLA;1999;461;OR;9141;
ORTOGRAFIA PRACTICA DE LA LENGUA ESPAÑOLA;JUAN LUIS FUENTES DE LA CORTE;2000;415;F 954;16577; 
ORTOGRAFIA PRACTICA DE LA LENGUA ESPAÑOLA;JUAN LUIS FUENTES DE LA CORTE;1994;465;F 954;8065;
