LA OFICINA AUTOMATIZADA Y LA SECRETARIA. PROCESAMEINTO DE PALABRAS;BETTY L. BOYCE;1986;651.3;B 789;S/INV.
RELACIONES PUBLICAS MODERNAS;JOHN E. MARSTON;1988;659.2;M 374;1230
GRAN ENCICLOPEDIA DE LOS DEPORTES. T.1;CULTURAL S.A.;1999;796;C 968;7769
GRAN ENCICLOPEDIA DE LOS DEPORTES. T.3;CULTURAL S.A.;1999;796;C 968ge;7772
GRAN ENCICLOPEDIA DE LOS DEPORTES. T.4;CULTURAL S.A.;1999;796;C 968gr;7775
GRAN ENCICLOPEDIA DE LOS DEPORTES. T.5;CULTURAL S.A.;1999;796;C 968gra;7777
INTRODUCCION A LOS SISTEMAS DE COMUNICACION;FERREL G. STREMLER;1993;621.38043;S 915i.E;6300
INTRODUCCION A LOS SISTEMAS DE COMUNICACION;FERREL G. STREMLER;1993;621.38043;S 915i.E;6301
INTRODUCCION A LOS SISTEMAS DE COMUNICACION;FERREL G. STREMLER;1993;621.38043;S 915i.E;6302
INTRODUCCION A LOS SISTEMAS DE COMUNICACION;FERREL G. STREMLER;1993;621.38043;S 915i.E;6303
INTRODUCCION A LOS SISTEMAS DE COMUNICACION;FERREL G. STREMLER;1993;621.38043;S 915i.E;9084
INTRODUCCION A LOS SISTEMAS DE TELECOMUNICACIONES;P.H. SMALE;1993;621.38;S 635;6285
INTRODUCCION A LOS SISTEMAS DE TELECOMUNICACIONES;P.H. SMALE;1993;621.38;S 635;6558
INTRODUCCION A LOS SISTEMAS DE TELECOMUNICACIONES;P.H. SMALE;1993;621.38;S 635;6593
INTRODUCCION A LOS SISTEMAS DE TELECOMUNICACIONES;P.H. SMALE;1993;621.38;S 635;6594
BREVE HISTORIA DE LA FILOSOFIA;HUMBERTO GIANNINI;1985;101;G 433;10878
HISTORIA ECONOMICA DE EUROPA (3) REVOLUCION INDUSTRIAL;CARLO M. CIPOLLA;1979;330.9;C 577;S/INV.
ESCRITORES DE AMERICA 31 ENTREVISTAS;CARLOS DECAP;1993;860;D 291;8048
ESCRITORES DE AMERICA 31 ENTREVISTAS;CARLOS DECAP;1993;860;D 291;8748
ESCRITORES DE AMERICA 31 ENTREVISTAS;CARLOS DECAP;1993;860;D 291;8749
ARISTOTELES. POLITICA;CARLOS GARCIA GUAL;1995;185;A 717p;9115
SERENDIPIA DESCUBRIMIENTOS ACCIDENTALES EN LA CIENCIA;ROYSTON M. ROBERTS;1989;500;R 643s;9094
CRECIMIENTO Y DESARROLLO;PIER VILAR;1964;339.5;V 697;S/INV.
MANUAL CIUDADANO. LACONSTITUCION  DE 1980 COMENTADA;HUMBERTO NOGUEIRA;1988;S/DEWEY;;S/INV.
FIN DE SIGLO. GRANDES PENSADORES HACEN REFLEXIONES SOBRE NUESTRO TIEMPO;NATHAN P. GARDELS;1996;909;G 218;8475
FIN DE SIGLO. GRANDES PENSADORES HACEN REFLEXIONES SOBRE NUESTRO TIEMPO;NATHAN P. GARDELS;1996;909;G 218;8476
FIN DE SIGLO. GRANDES PENSADORES HACEN REFLEXIONES SOBRE NUESTRO TIEMPO;NATHAN P. GARDELS;1996;909;G 218;8477
ANTONIO GAUDI;XAVIER GUELL;1995;927.2;G 925;1591
ANTONIO GAUDI;XAVIER GUELL;1995;927.2;G 925;1592
ANTONIO GAUDI;XAVIER GUELL;1995;927.2;G 925;1593
ANTONIO GAUDI;XAVIER GUELL;1995;927.2;G 925;1595
LOS UMBRALES DEL CONOCIMIENTO. ANTROPOLOGIA FILOSOFICA;EDUARDO BECKER DAGUERRESSAR;1994;120;B 395l;581
LOS UMBRALES DEL CONOCIMIENTO. ANTROPOLOGIA FILOSOFICA;EDUARDO BECKER DAGUERRESSAR;1994;120;B 395l;583
LOS UMBRALES DEL CONOCIMIENTO. ANTROPOLOGIA FILOSOFICA;EDUARDO BECKER DAGUERRESSAR;1994;120;B 395l;5993
LOS UMBRALES DEL CONOCIMIENTO. ANTROPOLOGIA FILOSOFICA;EDUARDO BECKER DAGUERRESSAR;1994;120;B 395;102
LOS UMBRALES DEL CONOCIMIENTO. ANTROPOLOGIA FILOSOFICA;EDUARDO BECKER DAGUERRESSAR;1994;120;B 395;103
CERVANTES Y EL QUIJOTE;ANTONIO DODDIS M.;1957;863;D 639;1566
EL JURADO;JOHN GRISHAM;1998;808.3;G 869;S/INV.
EL HOMBRE BICENTENARIO;ISAAC ASIMOV;1998;808.3;A 817;S/INV.
LA LISTA DE SCHINDLER;THOMAS KENEALLY;1998;808.3;K 34;S/INV.
J.F.K.;JIM GARRISON;1998;808.3;G 242;S/INV.
VEINTE MIL LEGUAS DE VIAJE SUBMARINO;JULIO VERNE;1984;843;V 531;3543
CASA GRANDE;LUIS ORREGO LUCO;1983;CH 860;O 75;S/INV.
LA ILIADA;;1958;880;H 766;1567
LOS GRANDES AUTORES Y SUS OBRAS;JORGE MANRIQUE;1952;863;M 286;S/INV.
EL VIOLIN DE ACERO. 100 AÑOS DEL VIADUCTO DEL MALLECO;EDGARDO JIMENEZ;1990;720.9;J 61;6
EL EMPERADOR ;FREDERICK FORSYTH;1998;808.3;F 735;S/INV.
FORREST GUMP;WINSTON GROOM;1998;808.3;G 876;S/INV.
LA BIBLIOTECA IDEAL;J. ALVAREZ;1995;860;A 473b;9384
IMAGINERIA COLONIAL EN CHILE;P. ESTELLE;1984;709.02;E 79;3858
EL ABC DE LA CONSERVACION;JOHANNA MARIA THEILE B.;1991;751.6;T 376;1274
DIBUJO Y GRABADO EN CHILE. SERIE PATRIMONIO CULTURAL  CHILENO;ENRIQUE SOLANICH SOTOMAYOR;1987;769.9;S 684;3539
DISEÑO Y COMUNICACIÓN VISUAL;BRUNO MUNARI;1993;760;M 963;856
DISEÑO Y COMUNICACIÓN VISUAL;BRUNO MUNARI;1993;760;M 963;857
PLANETA COLONIAL.  SERIE PATRIMONIO CULTURAL CHILENO;FERNANDO DE LA LASTRA;1985;739.23;L 349;3859
EL DIBUJO DE FIGURA EN TODO SU VALOR;ANDREWS LOOMIS;1959;743.4;L 863;831
LEXICO TECNICO DE LAS ARTES PLASTICAS;IRENE CRESPI ;1989;703;C 921;410
LEXICO TECNICO DE LAS ARTES PLASTICAS;IRENE CRESPI ;1989;703;C 921;411
HISTORIA DEL ARTE IBEROAMERICANO SIGLO XIX, SIGLO XX;LEOPOLDO CASTEDO;1988;709.024;C 347;3520
CURSO PRACTICO DE SECRETARIADO;BEA HOLMES ;1989;651.4;H 749;S/INV.
INVESTIGACION DOCUMENTOLOGICA;CARLOS E. BONILLA;2005;363.25;B 715i;12505
TRATADO DE DOCUMENTOLOGIA;CARLOS E. BONILLA;2005;364;B 715t;12503
TRATADO DE DOCUMENTOLOGIA;CARLOS E. BONILLA;2005;364;B 715t;12504
CULTURA Y SOCIEDAD;GEORGE PETER MURDOCK;1987;306;M 941;S/INV.
TABLAS DE MAREA DE LA COSTA DE CHILE Y PUERTOS DE LA COSTA SUDAMERICANA;S.H.O.A;1995;623.894.9;C 537;1791
EL MARINERO PESCADOR;JULIO NAVARRETE T.;1989;623.88;N 321;79
EL MARINERO PESCADOR;JULIO NAVARRETE T.;1989;623.88;N 321;80
