C++  GUIA DE AUTOENSEÑANZA;HERBERT  SCHILDT;1999;001.6;S 334 c ;9289
C++  GUIA DE AUTOENSEÑANZA;HERBERT  SCHILDT;1999;001.6;S 334 c ;9290
C++  GUIA DE AUTOENSEÑANZA;HERBERT  SCHILDT;1999;001.6;S 334 c ;9291
C++  GUIA DE AUTOENSEÑANZA;HERBERT  SCHILDT;1999;001.6;S 334 c ;9288
C++  GUIA DE AUTOENSEÑANZA;HERBERT  SCHILDT;1999;001.6;S 334 c ;9292
CD ROM      El nuevo papiro;GATES, WILLIAMS;1987;001;G 259;2929
CIBERESTRATEGIA;PAULINA BICHORTON;2000;005.4;B 583c;9939
CIRCUITOS DIGITALES Y MICROPROCESADORES;HERBERT TAUB;1983;001;T 222;2820
CLIPPER 5.2 AVANZADO;JOSE A. RAMALHO;1994;001.642.4;R 165;14700
COBOL ESTRUCTURADO;ANDREAS  PHILIPPAKIS;1994;001.642.4;P 551;1410
COBOL ESTRUCTURADO;ANDREAS  PHILIPPAKIS;1994;001.642.4;P 551;1411
COMO PROGRAMAR EN  C/C ++;H. DEITEL;1999;001.6;D 325;8220
COMO PROGRAMAR EN  C/C ++;H. DEITEL;1999;001.6;D 325;8247
COMO PROGRAMAR EN  C/C ++;H. DEITEL;1999;001.6;D 325;8248
COMO PROGRAMAR EN  C/C ++;H. DEITEL;1999;001.6;D 325;8249
COMO PROGRAMAR EN  C/C ++;H. DEITEL;1999;001.6;D 325;8250
COMPILADORES PRINCIPIOS, TECNICAS Y HARRAMIENTAS;ALFRED V. AHO;1986;001.644.04;A 286;5036
COMPILADORES PRINCIPIOS, TECNICAS Y HARRAMIENTAS;ALFRED V. AHO;1986;001.644.04;A 286;5283
COMPILADORES PRINCIPIOS, TECNICAS Y HARRAMIENTAS;ALFRED V. AHO;1986;001.644.04;A 286;6237
COMPILADORES PRINCIPIOS, TECNICAS Y HARRAMIENTAS;ALFRED V. AHO;1986;001.644.04;A 286;6238
COMPILADORES PRINCIPIOS, TECNICAS Y HARRAMIENTAS;ALFRED V. AHO;1986;001.644.04;A 286;8125
COMPUTACION, PRINCIPIOS Y APLICACIONES;ROBERTS & SCHWARTZMANN;1986;001;R 643;2802
COMPUTACION, PRINCIPIOS Y APLICACIONES;ROBERTS & SCHWARTZMANN;1986;001;R 643;2803
COMUNICACIONES EN UNIX;JEAN-MARIE RIFFLET;1992;001.642.5;R 565;2087
COMUNICACIONES Y REDES DE PROCESAMIENTO DE DATOS;NESTOR GONZALEZ;1987;001.644.04;G 643;1247
COMUNICACIONES Y REDES DE PROCESAMIENTO DE DATOS;NESTOR GONZALEZ;1987;001.644.04;G 643;1246
COMUNICACIONES Y REDES DE PROCESAMIENTO DE DATOS;NESTOR GONZALEZ;1987;001.644.04;G 643;1248
CONCEPCION Y DISEÑO DE BASES DE DATOS;M CASTAÑO;1993;001.61;m 636;5092
CONCEPCION Y DISEÑO DE BASES DE DATOS;M CASTAÑO;1993;001.61;m 636;5282
CONSTRUCCION DE SOFWARE ORIENTADO A OBJETOS ;BERTRAND MEYER;1999;005.3;M 613;8223
CONSTRUCCION DE SOFWARE ORIENTADO A OBJETOS ;BERTRAND MEYER;1999;005.3;M 613;8274
CURSO DE PROGRAMACION;JORGE CASTRO ;1993;001.642.4;C 355;5228
